variable_id,country,holdings_tonnes,unit,source_file,source_publication_date,download_date,ingested_at,validation_status,availability_status,parser_version
L0-002,United States,8133.461672731797,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498281+00:00,PASS,AVAILABLE,1.0.0
L0-002,Germany,3349.4759105471057,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498414+00:00,PASS,AVAILABLE,1.0.0
L0-002,IMF,2814.04208267239,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498479+00:00,PASS,AVAILABLE,1.0.0
L0-002,Italy,2451.8302696650185,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498551+00:00,PASS,AVAILABLE,1.0.0
L0-002,France,2436.9693011103855,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498646+00:00,PASS,AVAILABLE,1.0.0
L0-002,"China, P.R.: Mainland",2346.427793847781,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498725+00:00,PASS,AVAILABLE,1.0.0
L0-002,Russian Federation,2282.9772013312186,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498810+00:00,PASS,AVAILABLE,1.0.0
L0-002,Switzerland,1039.9365494074837,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498862+00:00,PASS,AVAILABLE,1.0.0
L0-002,India,880.52,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498913+00:00,PASS,AVAILABLE,1.0.0
L0-002,Japan,845.9730904170943,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498946+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Poland, Rep. of",632.429473080153,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.498977+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Netherlands, The",612.4537339429567,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499007+00:00,PASS,AVAILABLE,1.0.0
L0-002,Turkey5),530.6241679999999,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499038+00:00,PASS,AVAILABLE,1.0.0
L0-002,ECB,508.4134241547697,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499065+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Uzbekistan, Rep. of",431.712854965631,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499092+00:00,PASS,AVAILABLE,1.0.0
L0-002,Taiwan Province of China,423.93704705918947,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499118+00:00,PASS,AVAILABLE,1.0.0
L0-002,Portugal,382.66305869179814,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499144+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Kazakhstan, Rep. of",368.3760564212622,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499317+00:00,PASS,AVAILABLE,1.0.0
L0-002,Saudi Arabia,323.0674318061647,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:24.499453+00:00,PASS,AVAILABLE,1.0.0
