variable_id,country,panel,gold_share_of_reserves,holdings_tonnes,holdings_as_of,unit,source_file,source_publication_date,download_date,workbook_sha256,ingested_at,validation_status,availability_status,parser_version
L5-002,United States,left,0.814218619472411,8133.461672731797,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997316+00:00,PASS,AVAILABLE,1.1.0
L5-002,Germany,left,0.8099314199229325,3349.4759105471057,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997490+00:00,PASS,AVAILABLE,1.1.0
L5-002,Italy,left,0.770075174398121,2451.8302696650185,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997646+00:00,PASS,AVAILABLE,1.1.0
L5-002,France,left,0.7853353728748101,2436.9693011103855,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997715+00:00,PASS,AVAILABLE,1.1.0
L5-002,"China, P.R.: Mainland",left,0.0802208982959057,2346.427793847781,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997779+00:00,PASS,AVAILABLE,1.1.0
L5-002,Russian Federation,left,0.4137116732416058,2282.9772013312186,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997838+00:00,PASS,AVAILABLE,1.1.0
L5-002,Switzerland,left,0.1270442072484183,1039.9365494074837,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997896+00:00,PASS,AVAILABLE,1.1.0
L5-002,India,left,0.1680135895605478,880.52,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.997950+00:00,PASS,AVAILABLE,1.1.0
L5-002,Japan,left,0.0850533400820115,845.9730904170943,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.998007+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Poland, Rep. of",left,0.27870010383598,632.429473080153,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.998073+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Netherlands, The",left,0.7001177576198159,612.4537339429567,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.998130+00:00,PASS,AVAILABLE,1.1.0
L5-002,Turkey5),left,0.5636700334017497,530.6241679999999,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-23,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-23T06:43:50.998184+00:00,PASS,AVAILABLE,1.1.0
